BAYC ID 7/7,BAYC ID 7/9,BAYC ID 7/20,BAYC ID 7/29,,,
71,71,71,71,,,
181,181,181,181,,,
290,290,290,290,,,
313,313,313,313,,,ADDED AS SUSPICIOUS
403,403,403,403,,,REMOVED AS SUSPICIOUS
404,404,404,404,,,ADDED THEN REMOVED
511,511,511,511,,,
731,731,731,731,,,
753,753,753,753,,,
775,775,775,775,,,
842,842,842,842,,,
993,993,993,993,,,
1013,1013,1013,1013,,,
1049,1049,1100,1100,,,
1100,1100,1181,1181,,,
1181,1181,1207,1207,,,
1207,1207,1277,1277,,,
1277,1277,1364,1364,,,
1364,1364,1536,1536,,,
1536,1536,1553,1553,,,
1553,1553,1590,1590,,,
1590,1590,1729,1729,,,
1635,1729,1942,1942,,,
1729,1942,1948,1948,,,
1942,1948,1954,1954,,,
1948,1954,2068,2068,,,
1954,2068,2083,2083,,,
2068,2083,2162,2162,,,
2083,2162,2163,2163,,,
2162,2163,2298,2251,,,
2163,2311,2311,2311,,,
2311,2476,2476,2476,,,
2476,2491,2491,2491,,,
2510,2510,2510,2510,,,
2578,2578,2578,2578,,,
2611,2611,2611,2611,,,
2787,2787,2674,2674,,,
2892,2892,2787,2787,,,
3037,3037,2892,2892,,,
3215,3278,3037,3037,,,
3278,3329,3278,3278,,,
3329,3376,3329,3329,,,
3376,3391,3376,3376,,,
3391,3475,3391,3391,,,
3475,3569,3475,3475,,,
3569,3646,3569,3569,,,
3646,3746,3646,3646,,,
3746,3771,3746,3746,,,
3771,3787,3771,3771,,,
3787,3852,3787,3787,,,
3852,4146,3852,3852,,,
4146,4233,4146,4146,,,
4233,4250,4233,4233,,,
4250,4329,4250,4250,,,
4329,4429,4329,4329,,,
4429,4547,4429,4429,,,
4547,4688,4547,4547,,,
4688,4694,4688,4688,,,
4694,4741,4694,4694,,,
4741,4755,4741,4741,,,
4755,4759,4755,4755,,,
4759,4802,4759,4759,,,
4802,5087,4802,4802,,,
4930,5149,5087,5087,,,
5087,5151,5149,5149,,,
5149,5166,5151,5151,,,
5151,5171,5166,5166,,,
5166,5351,5171,5171,,,
5171,5373,5351,5351,,,
5351,5458,5373,5373,,,
5373,5538,5458,5458,,,
5458,5778,5538,5538,,,
5538,5783,5778,5778,,,
5778,5816,5783,5783,,,
5783,5957,5816,5816,,,
5816,6095,5957,5957,,,
5957,6166,6095,6095,,,
6095,6330,6166,6166,,,
6166,6591,6330,6330,,,
6330,6663,6591,6591,,,
5591,6740,6663,6663,,,
6663,6778,6740,6740,,,
6740,6794,6778,6778,,,
6778,6846,6794,6794,,,
6794,6891,6846,6846,,,
6846,7089,6891,6891,,,
6891,7104,7089,7089,,,
7089,7203,7104,7104,,,
7104,7354,7203,7203,,,
7203,7521,7354,7354,,,
7354,7533,7380,7380,,,
7521,7594,7521,7521,,,
7533,7683,7533,7533,,,
7594,7798,7594,7594,,,
7683,7898,7683,7683,,,
7798,8005,7798,7798,,,
7898,8028,7898,7898,,,
8005,8065,8005,8005,,,
8028,8079,8028,8028,,,
8065,8166,8065,8065,,,
8079,8167,8079,8079,,,
8166,8207,8083,8166,,,
8167,8214,8166,8167,,,
8207,8239,8167,8207,,,
8214,8255,8207,8214,,,
8239,8302,8214,8239,,,
8255,8405,8239,8255,,,
8302,8484,8255,8302,,,
8405,8599,8302,8405,,,
8484,8829,8405,8484,,,
8599,8858,8484,8599,,,
8829,8911,8599,8829,,,
8858,8992,8829,8858,,,
8911,9038,8858,8911,,,
8991,9237,8911,8992,,,
9038,9266,8992,9038,,,
9237,9416,9038,9237,,,
9266,9481,9237,9266,,,
9416,9483,9266,9416,,,
9481,9546,9416,9481,,,
9483,9618,9481,9483,,,
9546,9646,9483,9546,,,
9618,9672,9546,9618,,,
9646,9753,9618,9646,,,
9672,9816,9646,9672,,,
9753,9915,9672,9753,,,
9818,9917,9753,9816,,,
9915,,9816,9915,,,
9917,,9915,9917,,,
,,9917,,,,
