BAYC ID,MAYC ID,Clonex ID,Azuki ID,Moonbirds ID,BAKC ID
71,80,55,298,61,32
181,220,227,356,91,61
290,244,296,379,92,176
313,317,297,561,93,181
403,339,674,602,96,226
404,434,787,606,847,299
511,436,821,699,1931,441
731,488,999,714,2074,753
753,564,1054,746,2219,774
775,582,1062,776,2231,1277
842,620,1110,855,2271,1303
993,628,1147,1176,2292,1484
1013,720,1217,1304,2307,1522
1049,808,1313,1319,2325,1661
1100,833,1454,1354,2471,1693
1181,993,1516,1405,2795,1807
1207,1007,1576,1430,2808,1905
1277,1033,1631,1482,2823,1989
1364,1223,1725,1490,3156,2101
1536,1258,1922,1543,3270,2170
1553,1481,2021,1551,3273,2313
1590,1689,2136,1562,3486,2371
1635,1762,2191,1587,3808,2393
1729,1800,2281,1597,3833,2418
1942,1819,2659,1700,3899,2430
1948,1863,2705,1713,3987,2433
1954,1904,2778,1722,4049,2642
2068,1964,2857,1868,4100,2801
2083,2019,2922,1884,4131,2802
2162,2034,2933,1901,4133,2986
2163,2047,2953,1927,4402,3015
2311,2105,3089,1969,4990,3037
2476,2240,3119,1972,5047,3213
2510,2255,3151,1994,5346,3308
2578,2315,3170,2013,5485,3329
2611,2340,3174,2049,5492,3345
2787,2436,3191,2065,5733,3401
2892,2442,3340,2185,5826,3587
3037,2494,3940,2240,6271,3595
3215,2500,4014,2269,6306,3692
3278,2568,4324,2308,6544,3770
3329,2622,4552,2390,6862,3801
3376,2648,4612,2421,6924,3807
3391,2709,4740,2505,7103,3985
3475,2727,4749,2519,7229,4236
3569,2738,4997,2574,7468,4251
3646,2873,5369,2628,7568,4377
3746,2942,5397,2693,7629,4588
3771,3012,5459,2737,7643,4741
3787,3191,5474,2808,7681,4840
3852,3197,5606,2878,7713,4945
4146,3246,5759,2929,7753,5034
4233,3364,5782,2965,8067,5064
4250,3371,5784,3071,8315,5432
4329,3465,5804,3132,8374,5457
4429,3491,5856,3206,8446,5487
4547,3504,5947,3243,8581,5882
4688,3508,6065,3446,8721,5900
4694,3662,6123,3479,8749,6007
4741,3770,6297,3486,8759,6030
4755,3772,6301,3538,8801,6168
4759,3821,6305,3626,8805,6259
4802,3897,6324,3627,8822,6320
4930,3927,6362,3658,8833,6784
5087,4031,6447,3780,8928,6804
5149,4106,6465,3792,9033,6834
5151,4107,6572,3850,9134,6835
5166,4225,6599,3915,9265,7065
5171,4388,6634,3952,9409,7104
5351,4439,6801,4135,9968,7265
5373,4544,6812,4174,,7593
5458,4556,6854,4337,,7617
5538,4557,6887,4341,,7798
5778,4614,6992,4365,,7807
5783,4615,7030,4429,,8028
5816,4616,7066,4503,,8079
5957,4631,7122,4578,,8214
6095,4682,7377,4624,,8246
6166,4723,7608,4759,,8322
6330,4744,7637,4801,,8544
5591,4748,7724,4810,,8663
6663,4885,7834,4866,,8711
6740,4889,7860,4932,,8856
6778,4929,7911,4993,,8868
6794,5019,7973,5138,,9056
6846,5024,8158,5140,,9177
6891,5091,8181,5251,,9194
7089,5122,8207,5262,,9362
7104,5148,8311,5267,,
7203,5160,8593,5502,,
7354,5176,8608,5640,,
7521,5469,8648,5865,,
7533,5581,8753,6055,,
7594,5803,8815,6063,,
7683,5826,8868,6135,,
7798,6025,8870,6301,,
7898,6068,8897,6564,,
8005,6088,8948,6637,,
8028,6102,8955,6674,,
8065,6203,9021,6825,,
8079,6315,9037,6826,,
8166,6320,9056,6828,,
8167,6323,9082,6829,,
8207,6341,9233,7070,,
8214,6348,9591,7071,,
8239,6434,9609,7072,,
8255,6586,9670,7073,,
8302,6589,9913,7126,,
8405,6596,10198,7248,,
8484,6682,10237,7273,,
8599,6793,10242,7304,,
8829,6937,10339,7322,,
8858,7002,10392,7343,,
8911,7008,10576,7457,,
8991,7086,10785,7482,,
9038,7126,10876,7536,,
9237,7127,10880,7569,,
9266,7342,10912,7624,,
9416,7397,10917,7730,,
9481,7552,11013,7831,,
9483,7573,11120,7833,,
9546,7654,11124,7863,,
9618,7657,11127,7869,,
9646,7713,11150,7916,,
9672,7718,11186,7998,,
9753,7762,11515,8126,,
9818,7861,11521,8132,,
9915,7877,11555,8241,,
9917,7995,11605,8405,,
,8021,11619,8527,,
,8073,11752,8531,,
,8101,11841,8549,,
,8201,11952,8550,,
,8255,12085,8552,,
,8260,12195,8614,,
,8267,12197,8628,,
,8279,12222,8659,,
,8303,12456,8662,,
,8350,12465,8673,,
,8363,12568,8709,,
,8456,12608,8764,,
,8514,13279,9076,,
,8605,13285,9128,,
,8674,13295,9176,,
,8730,13298,9267,,
,8824,13414,9349,,
,8952,13512,9350,,
,9205,13720,9372,,
,9206,13727,9385,,
,9461,13756,9411,,
,9494,13923,9588,,
,9496,13942,9801,,
,9577,13988,9894,,
,9631,14052,,,
,9633,14132,,,
,9640,14238,,,
,9920,14334,,,
,9964,14514,,,
,10047,14535,,,
,10328,14561,,,
,10432,14620,,,
,10455,14748,,,
,10654,14857,,,
,10672,14975,,,
,10890,15102,,,
,11462,15403,,,
,11685,15417,,,
,11836,15723,,,
,11986,15766,,,
,12472,15874,,,
,12816,15977,,,
,12862,16089,,,
,13270,16181,,,
,13458,16191,,,
,13510,16258,,,
,13608,16448,,,
,13663,16450,,,
,13820,16867,,,
,14145,16872,,,
,14694,16873,,,
,14952,16876,,,
,14953,16882,,,
,15002,17026,,,
,15238,17031,,,
,15492,17069,,,
,15518,17094,,,
,15519,17138,,,
,15716,17251,,,
,15830,17284,,,
,15872,17336,,,
,15894,17691,,,
,16015,17692,,,
,16056,17717,,,
,16074,17828,,,
,16168,17900,,,
,16500,17946,,,
,16556,18260,,,
,16640,18378,,,
,16656,18436,,,
,16658,18573,,,
,17078,18574,,,
,17200,18814,,,
,17525,18833,,,
,17696,,,,
,17720,,,,
,17940,,,,
,18022,,,,
,18104,,,,
,18750,,,,
,18884,,,,
,18974,,,,
,19126,,,,
,19182,,,,
,19519,,,,
,19576,,,,
,19696,,,,
,20156,,,,
,20173,,,,
,20902,,,,
,20981,,,,
,21064,,,,
,21212,,,,
,21582,,,,
,21640,,,,
,21654,,,,
,21739,,,,
,21903,,,,
