BAYC ID,MAYC ID,BAKC ID,Clonex ID,Azuki ID,Moonbirds ID,Doodles ID
71,80,32,55,298,61,161 
181,220,61,227,356,91,249 
290,244,176,296,379,92,394 
313,317,181,297,561,93,720 
403,339,226,674,602,96,725 
404,434,299,787,606,847,750 
511,436,441,821,699,1931,768 
731,488,753,999,714,2074,1258
753,564,774,1054,746,2219,1282
775,582,1277,1062,776,2231,1516
842,620,1303,1110,855,2271,1651
993,628,1484,1147,1176,2292,1755
1013,720,1522,1217,1304,2307,1760
1049,808,1661,1313,1319,2325,1810
1100,833,1693,1454,1354,2471,1955
1181,993,1807,1516,1405,2795,2174
1207,1007,1905,1576,1430,2808,2188
1277,1033,1989,1631,1482,2823,2224
1364,1223,2101,1725,1490,3156,2495
1536,1258,2170,1922,1543,3270,2498
1553,1481,2313,2021,1551,3273,2556
1590,1689,2371,2136,1562,3486,2595
1635,1762,2393,2191,1587,3808,2630
1729,1800,2418,2281,1597,3833,2779
1942,1819,2430,2659,1700,3899,2992
1948,1863,2433,2705,1713,3987,3028
1954,1904,2642,2778,1722,4049,3189
2068,1964,2801,2857,1868,4100,3380
2083,2019,2802,2922,1884,4131,3693
2162,2034,2986,2933,1901,4133,3715
2163,2047,3015,2953,1927,4402,3763
2311,2105,3037,3089,1969,4990,3798
2476,2240,3213,3119,1972,5047,3820
2510,2255,3308,3151,1994,5346,3906
2578,2315,3329,3170,2013,5485,4129
2611,2340,3345,3174,2049,5492,4228
2787,2436,3401,3191,2065,5733,4251
2892,2442,3587,3340,2185,5826,4279
3037,2494,3595,3940,2240,6271,4314
3215,2500,3692,4014,2269,6306,4407
3278,2568,3770,4324,2308,6544,4433
3329,2622,3801,4552,2390,6862,4510
3376,2648,3807,4612,2421,6924,4592
3391,2709,3985,4740,2505,7103,4665
3475,2727,4236,4749,2519,7229,4718
3569,2738,4251,4997,2574,7468,4894
3646,2873,4377,5369,2628,7568,5034
3746,2942,4588,5397,2693,7629,5251
3771,3012,4741,5459,2737,7643,5315
3787,3191,4840,5474,2808,7681,5392
3852,3197,4945,5606,2878,7713,5396
4146,3246,5034,5759,2929,7753,5780
4233,3364,5064,5782,2965,8067,5843
4250,3371,5432,5784,3071,8315,5970
4329,3465,5457,5804,3132,8374,6094
